     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3
        54    0.4650000000E+03    0.4734526615E+03    0.8319000000E+04    0.4241375820E+01    0.1874556213E-03
        55    0.4750000000E+03    0.4614489402E+03    0.7611000000E+04    0.4033665548E+01    0.2502721893E-03
        56    0.5040000000E+03    0.5055547063E+03    0.8673000000E+04    0.3521892814E+01    0.2555696611E-03
        57    0.4860000000E+03    0.4686180292E+03    0.7965000000E+04    0.4145405008E+01    0.2369822485E-03
        58    0.4520000000E+03    0.4630462640E+03    0.7434000000E+04    0.3482057134E+01    0.1750898332E-03
        59    0.4590000000E+03    0.4417409977E+03    0.6615000000E+04    0.3519509845E+01    0.2328155819E-03
        60    0.4150000000E+03    0.4416786341E+03    0.6615000000E+04    0.3447260470E+01    0.2098875740E-03
        61    0.4370000000E+03    0.4222144681E+03    0.6615000000E+04    0.4286236018E+01    0.2044497041E-03
        62    0.4150000000E+03    0.4211674293E+03    0.6468000000E+04    0.4102924513E+01    0.1940828402E-03
        63    0.4010000000E+03    0.4037861879E+03    0.6174000000E+04    0.4458046444E+01    0.1882820513E-03
        64    0.4630000000E+03    0.4532765454E+03    0.7056000000E+04    0.3627087459E+01    0.2416420118E-03
        65    0.4420000000E+03    0.4308532424E+03    0.6909000000E+04    0.4241375820E+01    0.1874556213E-03
        66    0.4380000000E+03    0.4222025391E+03    0.6321000000E+04    0.4033665548E+01    0.2466055227E-03
        67    0.4680000000E+03    0.4609083617E+03    0.7203000000E+04    0.3521892814E+01    0.2524181460E-03
        68    0.4520000000E+03    0.4275217326E+03    0.6615000000E+04    0.4145405008E+01    0.2328155819E-03
        69    0.4220000000E+03    0.4247152407E+03    0.6174000000E+04    0.3482057134E+01    0.1715443787E-03
        70    0.4130000000E+03    0.4006923348E+03    0.5265000000E+04    0.3519509845E+01    0.2292899408E-03
        71    0.3950000000E+03    0.4006690308E+03    0.5265000000E+04    0.3447260470E+01    0.2068875740E-03
        72    0.3980000000E+03    0.3812677413E+03    0.5265000000E+04    0.4286236018E+01    0.2022958580E-03
        73    0.3780000000E+03    0.3812871220E+03    0.5148000000E+04    0.4102924513E+01    0.1940828402E-03
        74    0.3720000000E+03    0.3656976631E+03    0.4914000000E+04    0.4458046444E+01    0.1880000000E-03
        75    0.4150000000E+03    0.4095564043E+03    0.5616000000E+04    0.3627087459E+01    0.2387573964E-03
        76    0.3960000000E+03    0.3882538234E+03    0.5499000000E+04    0.4241375820E+01    0.1874556213E-03
        77    0.3880000000E+03    0.3829980557E+03    0.5031000000E+04    0.4033665548E+01    0.2435029586E-03
        78    0.4150000000E+03    0.4162980454E+03    0.5733000000E+04    0.3521892814E+01    0.2497514793E-03
        79    0.3980000000E+03    0.3864730697E+03    0.5265000000E+04    0.4145405008E+01    0.2292899408E-03
        80    0.3820000000E+03    0.3864247492E+03    0.4914000000E+04    0.3482057134E+01    0.1685443787E-03
        81    0.5230000000E+03    0.5127862745E+03    0.9075000000E+04    0.3975888385E+01    0.3282424242E-03
        82    0.5340000000E+03    0.5191119850E+03    0.8910000000E+04    0.3418151785E+01    0.3099393939E-03
        83    0.4890000000E+03    0.5059726065E+03    0.8580000000E+04    0.3335237284E+01    0.2419393939E-03
        84    0.5000000000E+03    0.5163819684E+03    0.9240000000E+04    0.3434411305E+01    0.1440000000E-03
        85    0.4950000000E+03    0.4841672854E+03    0.8910000000E+04    0.4953551536E+01    0.3090909091E-03
        86    0.5220000000E+03    0.5268025979E+03    0.9405000000E+04    0.3858442817E+01    0.3467878788E-03
        87    0.5310000000E+03    0.5231309696E+03    0.8745000000E+04    0.2961158337E+01    0.2913939394E-03
        88    0.5330000000E+03    0.5436473072E+03    0.9405000000E+04    0.3021036982E+01    0.3174545455E-03
        89    0.4920000000E+03    0.5223937407E+03    0.9240000000E+04    0.3638612917E+01    0.2873333333E-03
        90    0.5050000000E+03    0.4902516716E+03    0.8580000000E+04    0.4319033022E+01    0.3311515152E-03
        91    0.5410000000E+03    0.5175232599E+03    0.8910000000E+04    0.3416322506E+01    0.2880000000E-03
        92    0.4680000000E+03    0.4627287275E+03    0.7425000000E+04    0.3975888385E+01    0.3254545455E-03
        93    0.4590000000E+03    0.4698459681E+03    0.7290000000E+04    0.3418151785E+01    0.3056060606E-03
        94    0.4440000000E+03    0.4587760329E+03    0.7020000000E+04    0.3335237284E+01    0.2410606061E-03
