     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3
       192    0.6250000000E+03    0.5936257746E+03    0.2889473330E+03   -0.4877024213E+01   -0.3123275862E+04
       193    0.6310000000E+03    0.5625036736E+03    0.2930406151E+03   -0.1084375710E+02   -0.3071739130E+04
       194    0.6250000000E+03    0.6252420913E+03    0.3009006499E+03   -0.3674189925E+01   -0.2836647727E+04
       195    0.5510000000E+03    0.5632394206E+03    0.2455633987E+03   -0.4324595017E+01   -0.2972466683E+04
       196    0.5390000000E+03    0.5403315056E+03    0.2410742857E+03   -0.6891228000E+01   -0.3031740105E+04
       197    0.5640000000E+03    0.5731970056E+03    0.2474380010E+03   -0.3659272707E+01   -0.2882630814E+04
       198    0.5500000000E+03    0.5515205897E+03    0.2417258410E+03   -0.5047092442E+01   -0.3052659574E+04
       199    0.5900000000E+03    0.5604073390E+03    0.2430185171E+03   -0.4458993566E+01   -0.2963787954E+04
       200    0.5270000000E+03    0.5522325425E+03    0.2417258410E+03   -0.5034347575E+01   -0.3038617886E+04
       201    0.5570000000E+03    0.5505724653E+03    0.2492846216E+03   -0.6061741313E+01   -0.3090144231E+04
       202    0.5510000000E+03    0.5428700651E+03    0.2417258410E+03   -0.4729235601E+01   -0.3288851351E+04
       203    0.5830000000E+03    0.5501956017E+03    0.2511042817E+03   -0.7274074000E+01   -0.2968167702E+04
       204    0.5700000000E+03    0.5597818360E+03    0.2468162949E+03   -0.5096844127E+01   -0.2968167702E+04
       205    0.5430000000E+03    0.5298336660E+03    0.2436597299E+03   -0.8599805745E+01   -0.3081593407E+04
       206    0.5430000000E+03    0.5580638232E+03    0.2461914408E+03   -0.5331901389E+01   -0.2960714286E+04
       207    0.5630000000E+03    0.5444261419E+03    0.2364114543E+03   -0.4877024213E+01   -0.3123275862E+04
       208    0.5770000000E+03    0.5126070697E+03    0.2397605033E+03   -0.1084375710E+02   -0.3071739130E+04
       209    0.5780000000E+03    0.5740071437E+03    0.2461914408E+03   -0.3674189925E+01   -0.2836647727E+04
       210    0.4900000000E+03    0.5121351750E+03    0.1909937545E+03   -0.4324595017E+01   -0.2972466683E+04
       211    0.4960000000E+03    0.4901614902E+03    0.1875022222E+03   -0.6891228000E+01   -0.3031740105E+04
       212    0.5110000000E+03    0.5217026362E+03    0.1924517786E+03   -0.3659272707E+01   -0.2882630814E+04
       213    0.4940000000E+03    0.5012149790E+03    0.1880089874E+03   -0.5047092442E+01   -0.3052659574E+04
       214    0.5170000000E+03    0.5098327092E+03    0.1890144022E+03   -0.4458993566E+01   -0.2963787954E+04
       215    0.4800000000E+03    0.5019269318E+03    0.1880089874E+03   -0.5034347575E+01   -0.3038617886E+04
       216    0.5020000000E+03    0.4986937953E+03    0.1938880390E+03   -0.6061741313E+01   -0.3090144231E+04
       217    0.5040000000E+03    0.4925644544E+03    0.1880089874E+03   -0.4729235601E+01   -0.3288851351E+04
       218    0.5050000000E+03    0.4979382419E+03    0.1953033302E+03   -0.7274074000E+01   -0.2968167702E+04
       219    0.5020000000E+03    0.5084168499E+03    0.1919682293E+03   -0.5096844127E+01   -0.2968167702E+04
       220    0.4960000000E+03    0.4791255932E+03    0.1895131232E+03   -0.8599805745E+01   -0.3081593407E+04
       221    0.5010000000E+03    0.5068288756E+03    0.1914822317E+03   -0.5331901389E+01   -0.2960714286E+04
       222    0.5170000000E+03    0.4952265092E+03    0.1838755755E+03   -0.4877024213E+01   -0.3123275862E+04
       223    0.5230000000E+03    0.4627104658E+03    0.1864803914E+03   -0.1084375710E+02   -0.3071739130E+04
       224    0.5160000000E+03    0.5227721962E+03    0.1914822317E+03   -0.3674189925E+01   -0.2836647727E+04
       225    0.4860000000E+03    0.4806692853E+03    0.1867534164E+03   -0.1033011129E+02   -0.2749877511E+04
       226    0.4270000000E+03    0.4812945636E+03    0.1952536694E+03   -0.1095799343E+02   -0.2825657895E+04
       227    0.5100000000E+03    0.4806764697E+03    0.1919436458E+03   -0.1086673057E+02   -0.2783208955E+04
       228    0.4510000000E+03    0.4778600682E+03    0.1793493355E+03   -0.1004789542E+02   -0.2697435897E+04
       229    0.4250000000E+03    0.5049195492E+03    0.2045652297E+03   -0.9754169166E+01   -0.2661686319E+04
       230    0.4320000000E+03    0.4838688414E+03    0.1968674093E+03   -0.1095799343E+02   -0.2802052301E+04
       231    0.4820000000E+03    0.4640729507E+03    0.1733665144E+03   -0.1086673057E+02   -0.2765579710E+04
       232    0.4350000000E+03    0.4476704550E+03    0.1515169227E+03   -0.1033011129E+02   -0.2749877511E+04
       233    0.4060000000E+03    0.4467937613E+03    0.1584133544E+03   -0.1095799343E+02   -0.2825657895E+04
       234    0.4700000000E+03    0.4467605397E+03    0.1557278635E+03   -0.1086673057E+02   -0.2783208955E+04
       235    0.4380000000E+03    0.4461695192E+03    0.1455098382E+03   -0.1004789542E+02   -0.2697435897E+04
       236    0.4040000000E+03    0.4687734190E+03    0.1659680165E+03   -0.9754169166E+01   -0.2661686319E+04
       237    0.4060000000E+03    0.4490828955E+03    0.1597226151E+03   -0.1095799343E+02   -0.2802052301E+04
       238    0.4430000000E+03    0.4334395503E+03    0.1406558513E+03   -0.1086673057E+02   -0.2765579710E+04
       239    0.3970000000E+03    0.4146716247E+03    0.1162804291E+03   -0.1033011129E+02   -0.2749877511E+04
       240    0.3850000000E+03    0.4122929591E+03    0.1215730395E+03   -0.1095799343E+02   -0.2825657895E+04
       241    0.4250000000E+03    0.4128446098E+03    0.1195120813E+03   -0.1086673057E+02   -0.2783208955E+04
       242    0.3960000000E+03    0.4144789704E+03    0.1116703410E+03   -0.1004789542E+02   -0.2697435897E+04
       243    0.3800000000E+03    0.4326272890E+03    0.1273708034E+03   -0.9754169166E+01   -0.2661686319E+04
       244    0.3630000000E+03    0.4142969497E+03    0.1225778209E+03   -0.1095799343E+02   -0.2802052301E+04
